feature,modality,family,description
activity__hourly_profile_stability,activity,physiology,분산 가중 시간대 반복성; 표준 actigraphy IS와 동일한 지표라고 주장하지 않음
sleep__awake__median,sleep,physiology,sleep_awake; across days median
sleep__awake__iqr,sleep,physiology,sleep_awake; across days iqr
sleep__awake__p10,sleep,physiology,sleep_awake; across days p10
sleep__awake__p90,sleep,physiology,sleep_awake; across days p90
sleep__awake__missing_fraction,sleep,quality,sleep_awake; daily missing fraction
sleep__breath_average__median,sleep,physiology,sleep_breath_average; across days median
sleep__breath_average__iqr,sleep,physiology,sleep_breath_average; across days iqr
sleep__breath_average__p10,sleep,physiology,sleep_breath_average; across days p10
sleep__breath_average__p90,sleep,physiology,sleep_breath_average; across days p90
sleep__breath_average__missing_fraction,sleep,quality,sleep_breath_average; daily missing fraction
sleep__deep__median,sleep,physiology,sleep_deep; across days median
sleep__deep__iqr,sleep,physiology,sleep_deep; across days iqr
sleep__deep__p10,sleep,physiology,sleep_deep; across days p10
sleep__deep__p90,sleep,physiology,sleep_deep; across days p90
sleep__deep__missing_fraction,sleep,quality,sleep_deep; daily missing fraction
sleep__duration__median,sleep,physiology,sleep_duration; across days median
sleep__duration__iqr,sleep,physiology,sleep_duration; across days iqr
sleep__duration__p10,sleep,physiology,sleep_duration; across days p10
sleep__duration__p90,sleep,physiology,sleep_duration; across days p90
sleep__duration__missing_fraction,sleep,quality,sleep_duration; daily missing fraction
sleep__efficiency__median,sleep,physiology,sleep_efficiency; across days median
sleep__efficiency__iqr,sleep,physiology,sleep_efficiency; across days iqr
sleep__efficiency__p10,sleep,physiology,sleep_efficiency; across days p10
sleep__efficiency__p90,sleep,physiology,sleep_efficiency; across days p90
sleep__efficiency__missing_fraction,sleep,quality,sleep_efficiency; daily missing fraction
sleep__hr_average__median,sleep,physiology,sleep_hr_average; across days median
sleep__hr_average__iqr,sleep,physiology,sleep_hr_average; across days iqr
sleep__hr_average__p10,sleep,physiology,sleep_hr_average; across days p10
sleep__hr_average__p90,sleep,physiology,sleep_hr_average; across days p90
sleep__hr_average__missing_fraction,sleep,quality,sleep_hr_average; daily missing fraction
sleep__hr_lowest__median,sleep,physiology,sleep_hr_lowest; across days median
sleep__hr_lowest__iqr,sleep,physiology,sleep_hr_lowest; across days iqr
sleep__hr_lowest__p10,sleep,physiology,sleep_hr_lowest; across days p10
sleep__hr_lowest__p90,sleep,physiology,sleep_hr_lowest; across days p90
sleep__hr_lowest__missing_fraction,sleep,quality,sleep_hr_lowest; daily missing fraction
sleep__light__median,sleep,physiology,sleep_light; across days median
sleep__light__iqr,sleep,physiology,sleep_light; across days iqr
sleep__light__p10,sleep,physiology,sleep_light; across days p10
sleep__light__p90,sleep,physiology,sleep_light; across days p90
sleep__light__missing_fraction,sleep,quality,sleep_light; daily missing fraction
sleep__onset_latency__median,sleep,physiology,sleep_onset_latency; across days median
sleep__onset_latency__iqr,sleep,physiology,sleep_onset_latency; across days iqr
sleep__onset_latency__p10,sleep,physiology,sleep_onset_latency; across days p10
sleep__onset_latency__p90,sleep,physiology,sleep_onset_latency; across days p90
sleep__onset_latency__missing_fraction,sleep,quality,sleep_onset_latency; daily missing fraction
sleep__rem__median,sleep,physiology,sleep_rem; across days median
sleep__rem__iqr,sleep,physiology,sleep_rem; across days iqr
sleep__rem__p10,sleep,physiology,sleep_rem; across days p10
sleep__rem__p90,sleep,physiology,sleep_rem; across days p90
sleep__rem__missing_fraction,sleep,quality,sleep_rem; daily missing fraction
sleep__restless__median,sleep,physiology,sleep_restless; across days median
sleep__restless__iqr,sleep,physiology,sleep_restless; across days iqr
sleep__restless__p10,sleep,physiology,sleep_restless; across days p10
sleep__restless__p90,sleep,physiology,sleep_restless; across days p90
sleep__restless__missing_fraction,sleep,quality,sleep_restless; daily missing fraction
sleep__rmssd__median,sleep,physiology,sleep_rmssd; across days median
sleep__rmssd__iqr,sleep,physiology,sleep_rmssd; across days iqr
sleep__rmssd__p10,sleep,physiology,sleep_rmssd; across days p10
sleep__rmssd__p90,sleep,physiology,sleep_rmssd; across days p90
sleep__rmssd__missing_fraction,sleep,quality,sleep_rmssd; daily missing fraction
sleep__score__median,sleep,vendor,sleep_score; across days median
sleep__score__iqr,sleep,vendor,sleep_score; across days iqr
sleep__score__p10,sleep,vendor,sleep_score; across days p10
sleep__score__p90,sleep,vendor,sleep_score; across days p90
sleep__score__missing_fraction,sleep,quality,sleep_score; daily missing fraction
sleep__score_alignment__median,sleep,vendor,sleep_score_alignment; across days median
sleep__score_alignment__iqr,sleep,vendor,sleep_score_alignment; across days iqr
sleep__score_alignment__p10,sleep,vendor,sleep_score_alignment; across days p10
sleep__score_alignment__p90,sleep,vendor,sleep_score_alignment; across days p90
sleep__score_alignment__missing_fraction,sleep,quality,sleep_score_alignment; daily missing fraction
sleep__score_deep__median,sleep,vendor,sleep_score_deep; across days median
sleep__score_deep__iqr,sleep,vendor,sleep_score_deep; across days iqr
sleep__score_deep__p10,sleep,vendor,sleep_score_deep; across days p10
sleep__score_deep__p90,sleep,vendor,sleep_score_deep; across days p90
sleep__score_deep__missing_fraction,sleep,quality,sleep_score_deep; daily missing fraction
sleep__score_disturbances__median,sleep,vendor,sleep_score_disturbances; across days median
sleep__score_disturbances__iqr,sleep,vendor,sleep_score_disturbances; across days iqr
sleep__score_disturbances__p10,sleep,vendor,sleep_score_disturbances; across days p10
sleep__score_disturbances__p90,sleep,vendor,sleep_score_disturbances; across days p90
sleep__score_disturbances__missing_fraction,sleep,quality,sleep_score_disturbances; daily missing fraction
sleep__score_efficiency__median,sleep,vendor,sleep_score_efficiency; across days median
sleep__score_efficiency__iqr,sleep,vendor,sleep_score_efficiency; across days iqr
sleep__score_efficiency__p10,sleep,vendor,sleep_score_efficiency; across days p10
sleep__score_efficiency__p90,sleep,vendor,sleep_score_efficiency; across days p90
sleep__score_efficiency__missing_fraction,sleep,quality,sleep_score_efficiency; daily missing fraction
sleep__score_latency__median,sleep,vendor,sleep_score_latency; across days median
sleep__score_latency__iqr,sleep,vendor,sleep_score_latency; across days iqr
sleep__score_latency__p10,sleep,vendor,sleep_score_latency; across days p10
sleep__score_latency__p90,sleep,vendor,sleep_score_latency; across days p90
sleep__score_latency__missing_fraction,sleep,quality,sleep_score_latency; daily missing fraction
sleep__score_rem__median,sleep,vendor,sleep_score_rem; across days median
sleep__score_rem__iqr,sleep,vendor,sleep_score_rem; across days iqr
sleep__score_rem__p10,sleep,vendor,sleep_score_rem; across days p10
sleep__score_rem__p90,sleep,vendor,sleep_score_rem; across days p90
sleep__score_rem__missing_fraction,sleep,quality,sleep_score_rem; daily missing fraction
sleep__score_total__median,sleep,vendor,sleep_score_total; across days median
sleep__score_total__iqr,sleep,vendor,sleep_score_total; across days iqr
sleep__score_total__p10,sleep,vendor,sleep_score_total; across days p10
sleep__score_total__p90,sleep,vendor,sleep_score_total; across days p90
sleep__score_total__missing_fraction,sleep,quality,sleep_score_total; daily missing fraction
sleep__temperature_delta__median,sleep,physiology,sleep_temperature_delta; across days median
sleep__temperature_delta__iqr,sleep,physiology,sleep_temperature_delta; across days iqr
sleep__temperature_delta__p10,sleep,physiology,sleep_temperature_delta; across days p10
sleep__temperature_delta__p90,sleep,physiology,sleep_temperature_delta; across days p90
sleep__temperature_delta__missing_fraction,sleep,quality,sleep_temperature_delta; daily missing fraction
sleep__temperature_deviation__median,sleep,physiology,sleep_temperature_deviation; across days median
sleep__temperature_deviation__iqr,sleep,physiology,sleep_temperature_deviation; across days iqr
sleep__temperature_deviation__p10,sleep,physiology,sleep_temperature_deviation; across days p10
sleep__temperature_deviation__p90,sleep,physiology,sleep_temperature_deviation; across days p90
sleep__temperature_deviation__missing_fraction,sleep,quality,sleep_temperature_deviation; daily missing fraction
sleep__total__median,sleep,physiology,sleep_total; across days median
sleep__total__iqr,sleep,physiology,sleep_total; across days iqr
sleep__total__p10,sleep,physiology,sleep_total; across days p10
sleep__total__p90,sleep,physiology,sleep_total; across days p90
sleep__total__missing_fraction,sleep,quality,sleep_total; daily missing fraction
sleep__hr_mean__median,sleep,physiology,CONVERT(sleep_hr_5min USING utf8): mean; across days median
sleep__hr_mean__iqr,sleep,physiology,CONVERT(sleep_hr_5min USING utf8): mean; across days iqr
sleep__hr_mean__p10,sleep,physiology,CONVERT(sleep_hr_5min USING utf8): mean; across days p10
sleep__hr_mean__p90,sleep,physiology,CONVERT(sleep_hr_5min USING utf8): mean; across days p90
sleep__hr_mean__missing_fraction,sleep,quality,CONVERT(sleep_hr_5min USING utf8): mean; daily missing fraction
sleep__hr_std__median,sleep,physiology,CONVERT(sleep_hr_5min USING utf8): std; across days median
sleep__hr_std__iqr,sleep,physiology,CONVERT(sleep_hr_5min USING utf8): std; across days iqr
sleep__hr_std__p10,sleep,physiology,CONVERT(sleep_hr_5min USING utf8): std; across days p10
sleep__hr_std__p90,sleep,physiology,CONVERT(sleep_hr_5min USING utf8): std; across days p90
sleep__hr_std__missing_fraction,sleep,quality,CONVERT(sleep_hr_5min USING utf8): std; daily missing fraction
sleep__hr_p10__median,sleep,physiology,CONVERT(sleep_hr_5min USING utf8): p10; across days median
sleep__hr_p10__iqr,sleep,physiology,CONVERT(sleep_hr_5min USING utf8): p10; across days iqr
sleep__hr_p10__p10,sleep,physiology,CONVERT(sleep_hr_5min USING utf8): p10; across days p10
sleep__hr_p10__p90,sleep,physiology,CONVERT(sleep_hr_5min USING utf8): p10; across days p90
sleep__hr_p10__missing_fraction,sleep,quality,CONVERT(sleep_hr_5min USING utf8): p10; daily missing fraction
sleep__hr_p90__median,sleep,physiology,CONVERT(sleep_hr_5min USING utf8): p90; across days median
sleep__hr_p90__iqr,sleep,physiology,CONVERT(sleep_hr_5min USING utf8): p90; across days iqr
sleep__hr_p90__p10,sleep,physiology,CONVERT(sleep_hr_5min USING utf8): p90; across days p10
sleep__hr_p90__p90,sleep,physiology,CONVERT(sleep_hr_5min USING utf8): p90; across days p90
sleep__hr_p90__missing_fraction,sleep,quality,CONVERT(sleep_hr_5min USING utf8): p90; daily missing fraction
sleep__hr_rmssd_adjacent__median,sleep,physiology,CONVERT(sleep_hr_5min USING utf8): rmssd_adjacent; across days median
sleep__hr_rmssd_adjacent__iqr,sleep,physiology,CONVERT(sleep_hr_5min USING utf8): rmssd_adjacent; across days iqr
sleep__hr_rmssd_adjacent__p10,sleep,physiology,CONVERT(sleep_hr_5min USING utf8): rmssd_adjacent; across days p10
sleep__hr_rmssd_adjacent__p90,sleep,physiology,CONVERT(sleep_hr_5min USING utf8): rmssd_adjacent; across days p90
sleep__hr_rmssd_adjacent__missing_fraction,sleep,quality,CONVERT(sleep_hr_5min USING utf8): rmssd_adjacent; daily missing fraction
sleep__hr_lag1__median,sleep,physiology,CONVERT(sleep_hr_5min USING utf8): lag1; across days median
sleep__hr_lag1__iqr,sleep,physiology,CONVERT(sleep_hr_5min USING utf8): lag1; across days iqr
sleep__hr_lag1__p10,sleep,physiology,CONVERT(sleep_hr_5min USING utf8): lag1; across days p10
sleep__hr_lag1__p90,sleep,physiology,CONVERT(sleep_hr_5min USING utf8): lag1; across days p90
sleep__hr_lag1__missing_fraction,sleep,quality,CONVERT(sleep_hr_5min USING utf8): lag1; daily missing fraction
sleep__hr_last_first_third__median,sleep,physiology,CONVERT(sleep_hr_5min USING utf8): last_first_third; across days median
sleep__hr_last_first_third__iqr,sleep,physiology,CONVERT(sleep_hr_5min USING utf8): last_first_third; across days iqr
sleep__hr_last_first_third__p10,sleep,physiology,CONVERT(sleep_hr_5min USING utf8): last_first_third; across days p10
sleep__hr_last_first_third__p90,sleep,physiology,CONVERT(sleep_hr_5min USING utf8): last_first_third; across days p90
sleep__hr_last_first_third__missing_fraction,sleep,quality,CONVERT(sleep_hr_5min USING utf8): last_first_third; daily missing fraction
sleep__hr_valid_fraction__median,sleep,quality,CONVERT(sleep_hr_5min USING utf8): valid_fraction; across days median
sleep__hr_valid_fraction__iqr,sleep,quality,CONVERT(sleep_hr_5min USING utf8): valid_fraction; across days iqr
sleep__hr_valid_fraction__p10,sleep,quality,CONVERT(sleep_hr_5min USING utf8): valid_fraction; across days p10
sleep__hr_valid_fraction__p90,sleep,quality,CONVERT(sleep_hr_5min USING utf8): valid_fraction; across days p90
sleep__hr_valid_fraction__missing_fraction,sleep,quality,CONVERT(sleep_hr_5min USING utf8): valid_fraction; daily missing fraction
sleep__hr_length__median,sleep,quality,CONVERT(sleep_hr_5min USING utf8): length; across days median
sleep__hr_length__iqr,sleep,quality,CONVERT(sleep_hr_5min USING utf8): length; across days iqr
sleep__hr_length__p10,sleep,quality,CONVERT(sleep_hr_5min USING utf8): length; across days p10
sleep__hr_length__p90,sleep,quality,CONVERT(sleep_hr_5min USING utf8): length; across days p90
sleep__hr_length__missing_fraction,sleep,quality,CONVERT(sleep_hr_5min USING utf8): length; daily missing fraction
sleep__state_code_1_fraction__median,sleep,physiology,CONVERT(sleep_hypnogram_5min USING utf8): code_1_fraction; across days median
sleep__state_code_1_fraction__iqr,sleep,physiology,CONVERT(sleep_hypnogram_5min USING utf8): code_1_fraction; across days iqr
sleep__state_code_1_fraction__p10,sleep,physiology,CONVERT(sleep_hypnogram_5min USING utf8): code_1_fraction; across days p10
sleep__state_code_1_fraction__p90,sleep,physiology,CONVERT(sleep_hypnogram_5min USING utf8): code_1_fraction; across days p90
sleep__state_code_1_fraction__missing_fraction,sleep,quality,CONVERT(sleep_hypnogram_5min USING utf8): code_1_fraction; daily missing fraction
sleep__state_code_1_longest_minutes__median,sleep,physiology,CONVERT(sleep_hypnogram_5min USING utf8): code_1_longest_minutes; across days median
sleep__state_code_1_longest_minutes__iqr,sleep,physiology,CONVERT(sleep_hypnogram_5min USING utf8): code_1_longest_minutes; across days iqr
sleep__state_code_1_longest_minutes__p10,sleep,physiology,CONVERT(sleep_hypnogram_5min USING utf8): code_1_longest_minutes; across days p10
sleep__state_code_1_longest_minutes__p90,sleep,physiology,CONVERT(sleep_hypnogram_5min USING utf8): code_1_longest_minutes; across days p90
sleep__state_code_1_longest_minutes__missing_fraction,sleep,quality,CONVERT(sleep_hypnogram_5min USING utf8): code_1_longest_minutes; daily missing fraction
sleep__state_code_2_fraction__median,sleep,physiology,CONVERT(sleep_hypnogram_5min USING utf8): code_2_fraction; across days median
sleep__state_code_2_fraction__iqr,sleep,physiology,CONVERT(sleep_hypnogram_5min USING utf8): code_2_fraction; across days iqr
sleep__state_code_2_fraction__p10,sleep,physiology,CONVERT(sleep_hypnogram_5min USING utf8): code_2_fraction; across days p10
sleep__state_code_2_fraction__p90,sleep,physiology,CONVERT(sleep_hypnogram_5min USING utf8): code_2_fraction; across days p90
sleep__state_code_2_fraction__missing_fraction,sleep,quality,CONVERT(sleep_hypnogram_5min USING utf8): code_2_fraction; daily missing fraction
sleep__state_code_2_longest_minutes__median,sleep,physiology,CONVERT(sleep_hypnogram_5min USING utf8): code_2_longest_minutes; across days median
sleep__state_code_2_longest_minutes__iqr,sleep,physiology,CONVERT(sleep_hypnogram_5min USING utf8): code_2_longest_minutes; across days iqr
sleep__state_code_2_longest_minutes__p10,sleep,physiology,CONVERT(sleep_hypnogram_5min USING utf8): code_2_longest_minutes; across days p10
sleep__state_code_2_longest_minutes__p90,sleep,physiology,CONVERT(sleep_hypnogram_5min USING utf8): code_2_longest_minutes; across days p90
sleep__state_code_2_longest_minutes__missing_fraction,sleep,quality,CONVERT(sleep_hypnogram_5min USING utf8): code_2_longest_minutes; daily missing fraction
sleep__state_code_3_fraction__median,sleep,physiology,CONVERT(sleep_hypnogram_5min USING utf8): code_3_fraction; across days median
sleep__state_code_3_fraction__iqr,sleep,physiology,CONVERT(sleep_hypnogram_5min USING utf8): code_3_fraction; across days iqr
sleep__state_code_3_fraction__p10,sleep,physiology,CONVERT(sleep_hypnogram_5min USING utf8): code_3_fraction; across days p10
sleep__state_code_3_fraction__p90,sleep,physiology,CONVERT(sleep_hypnogram_5min USING utf8): code_3_fraction; across days p90
sleep__state_code_3_fraction__missing_fraction,sleep,quality,CONVERT(sleep_hypnogram_5min USING utf8): code_3_fraction; daily missing fraction
sleep__state_code_3_longest_minutes__median,sleep,physiology,CONVERT(sleep_hypnogram_5min USING utf8): code_3_longest_minutes; across days median
sleep__state_code_3_longest_minutes__iqr,sleep,physiology,CONVERT(sleep_hypnogram_5min USING utf8): code_3_longest_minutes; across days iqr
sleep__state_code_3_longest_minutes__p10,sleep,physiology,CONVERT(sleep_hypnogram_5min USING utf8): code_3_longest_minutes; across days p10
sleep__state_code_3_longest_minutes__p90,sleep,physiology,CONVERT(sleep_hypnogram_5min USING utf8): code_3_longest_minutes; across days p90
sleep__state_code_3_longest_minutes__missing_fraction,sleep,quality,CONVERT(sleep_hypnogram_5min USING utf8): code_3_longest_minutes; daily missing fraction
sleep__state_code_4_fraction__median,sleep,physiology,CONVERT(sleep_hypnogram_5min USING utf8): code_4_fraction; across days median
sleep__state_code_4_fraction__iqr,sleep,physiology,CONVERT(sleep_hypnogram_5min USING utf8): code_4_fraction; across days iqr
sleep__state_code_4_fraction__p10,sleep,physiology,CONVERT(sleep_hypnogram_5min USING utf8): code_4_fraction; across days p10
sleep__state_code_4_fraction__p90,sleep,physiology,CONVERT(sleep_hypnogram_5min USING utf8): code_4_fraction; across days p90
sleep__state_code_4_fraction__missing_fraction,sleep,quality,CONVERT(sleep_hypnogram_5min USING utf8): code_4_fraction; daily missing fraction
sleep__state_code_4_longest_minutes__median,sleep,physiology,CONVERT(sleep_hypnogram_5min USING utf8): code_4_longest_minutes; across days median
sleep__state_code_4_longest_minutes__iqr,sleep,physiology,CONVERT(sleep_hypnogram_5min USING utf8): code_4_longest_minutes; across days iqr
sleep__state_code_4_longest_minutes__p10,sleep,physiology,CONVERT(sleep_hypnogram_5min USING utf8): code_4_longest_minutes; across days p10
sleep__state_code_4_longest_minutes__p90,sleep,physiology,CONVERT(sleep_hypnogram_5min USING utf8): code_4_longest_minutes; across days p90
sleep__state_code_4_longest_minutes__missing_fraction,sleep,quality,CONVERT(sleep_hypnogram_5min USING utf8): code_4_longest_minutes; daily missing fraction
sleep__state_entropy__median,sleep,physiology,CONVERT(sleep_hypnogram_5min USING utf8): entropy; across days median
sleep__state_entropy__iqr,sleep,physiology,CONVERT(sleep_hypnogram_5min USING utf8): entropy; across days iqr
sleep__state_entropy__p10,sleep,physiology,CONVERT(sleep_hypnogram_5min USING utf8): entropy; across days p10
sleep__state_entropy__p90,sleep,physiology,CONVERT(sleep_hypnogram_5min USING utf8): entropy; across days p90
sleep__state_entropy__missing_fraction,sleep,quality,CONVERT(sleep_hypnogram_5min USING utf8): entropy; daily missing fraction
sleep__state_transition_rate__median,sleep,physiology,CONVERT(sleep_hypnogram_5min USING utf8): transition_rate; across days median
sleep__state_transition_rate__iqr,sleep,physiology,CONVERT(sleep_hypnogram_5min USING utf8): transition_rate; across days iqr
sleep__state_transition_rate__p10,sleep,physiology,CONVERT(sleep_hypnogram_5min USING utf8): transition_rate; across days p10
sleep__state_transition_rate__p90,sleep,physiology,CONVERT(sleep_hypnogram_5min USING utf8): transition_rate; across days p90
sleep__state_transition_rate__missing_fraction,sleep,quality,CONVERT(sleep_hypnogram_5min USING utf8): transition_rate; daily missing fraction
sleep__state_valid_fraction__median,sleep,quality,CONVERT(sleep_hypnogram_5min USING utf8): valid_fraction; across days median
sleep__state_valid_fraction__iqr,sleep,quality,CONVERT(sleep_hypnogram_5min USING utf8): valid_fraction; across days iqr
sleep__state_valid_fraction__p10,sleep,quality,CONVERT(sleep_hypnogram_5min USING utf8): valid_fraction; across days p10
sleep__state_valid_fraction__p90,sleep,quality,CONVERT(sleep_hypnogram_5min USING utf8): valid_fraction; across days p90
sleep__state_valid_fraction__missing_fraction,sleep,quality,CONVERT(sleep_hypnogram_5min USING utf8): valid_fraction; daily missing fraction
sleep__state_length__median,sleep,quality,CONVERT(sleep_hypnogram_5min USING utf8): length; across days median
sleep__state_length__iqr,sleep,quality,CONVERT(sleep_hypnogram_5min USING utf8): length; across days iqr
sleep__state_length__p10,sleep,quality,CONVERT(sleep_hypnogram_5min USING utf8): length; across days p10
sleep__state_length__p90,sleep,quality,CONVERT(sleep_hypnogram_5min USING utf8): length; across days p90
sleep__state_length__missing_fraction,sleep,quality,CONVERT(sleep_hypnogram_5min USING utf8): length; daily missing fraction
sleep__hrv_mean__median,sleep,physiology,CONVERT(sleep_rmssd_5min USING utf8): mean; across days median
sleep__hrv_mean__iqr,sleep,physiology,CONVERT(sleep_rmssd_5min USING utf8): mean; across days iqr
sleep__hrv_mean__p10,sleep,physiology,CONVERT(sleep_rmssd_5min USING utf8): mean; across days p10
sleep__hrv_mean__p90,sleep,physiology,CONVERT(sleep_rmssd_5min USING utf8): mean; across days p90
sleep__hrv_mean__missing_fraction,sleep,quality,CONVERT(sleep_rmssd_5min USING utf8): mean; daily missing fraction
sleep__hrv_std__median,sleep,physiology,CONVERT(sleep_rmssd_5min USING utf8): std; across days median
sleep__hrv_std__iqr,sleep,physiology,CONVERT(sleep_rmssd_5min USING utf8): std; across days iqr
sleep__hrv_std__p10,sleep,physiology,CONVERT(sleep_rmssd_5min USING utf8): std; across days p10
sleep__hrv_std__p90,sleep,physiology,CONVERT(sleep_rmssd_5min USING utf8): std; across days p90
sleep__hrv_std__missing_fraction,sleep,quality,CONVERT(sleep_rmssd_5min USING utf8): std; daily missing fraction
sleep__hrv_p10__median,sleep,physiology,CONVERT(sleep_rmssd_5min USING utf8): p10; across days median
sleep__hrv_p10__iqr,sleep,physiology,CONVERT(sleep_rmssd_5min USING utf8): p10; across days iqr
sleep__hrv_p10__p10,sleep,physiology,CONVERT(sleep_rmssd_5min USING utf8): p10; across days p10
sleep__hrv_p10__p90,sleep,physiology,CONVERT(sleep_rmssd_5min USING utf8): p10; across days p90
sleep__hrv_p10__missing_fraction,sleep,quality,CONVERT(sleep_rmssd_5min USING utf8): p10; daily missing fraction
sleep__hrv_p90__median,sleep,physiology,CONVERT(sleep_rmssd_5min USING utf8): p90; across days median
sleep__hrv_p90__iqr,sleep,physiology,CONVERT(sleep_rmssd_5min USING utf8): p90; across days iqr
sleep__hrv_p90__p10,sleep,physiology,CONVERT(sleep_rmssd_5min USING utf8): p90; across days p10
sleep__hrv_p90__p90,sleep,physiology,CONVERT(sleep_rmssd_5min USING utf8): p90; across days p90
sleep__hrv_p90__missing_fraction,sleep,quality,CONVERT(sleep_rmssd_5min USING utf8): p90; daily missing fraction
sleep__hrv_rmssd_adjacent__median,sleep,physiology,CONVERT(sleep_rmssd_5min USING utf8): rmssd_adjacent; across days median
sleep__hrv_rmssd_adjacent__iqr,sleep,physiology,CONVERT(sleep_rmssd_5min USING utf8): rmssd_adjacent; across days iqr
sleep__hrv_rmssd_adjacent__p10,sleep,physiology,CONVERT(sleep_rmssd_5min USING utf8): rmssd_adjacent; across days p10
sleep__hrv_rmssd_adjacent__p90,sleep,physiology,CONVERT(sleep_rmssd_5min USING utf8): rmssd_adjacent; across days p90
sleep__hrv_rmssd_adjacent__missing_fraction,sleep,quality,CONVERT(sleep_rmssd_5min USING utf8): rmssd_adjacent; daily missing fraction
sleep__hrv_lag1__median,sleep,physiology,CONVERT(sleep_rmssd_5min USING utf8): lag1; across days median
sleep__hrv_lag1__iqr,sleep,physiology,CONVERT(sleep_rmssd_5min USING utf8): lag1; across days iqr
sleep__hrv_lag1__p10,sleep,physiology,CONVERT(sleep_rmssd_5min USING utf8): lag1; across days p10
sleep__hrv_lag1__p90,sleep,physiology,CONVERT(sleep_rmssd_5min USING utf8): lag1; across days p90
sleep__hrv_lag1__missing_fraction,sleep,quality,CONVERT(sleep_rmssd_5min USING utf8): lag1; daily missing fraction
sleep__hrv_last_first_third__median,sleep,physiology,CONVERT(sleep_rmssd_5min USING utf8): last_first_third; across days median
sleep__hrv_last_first_third__iqr,sleep,physiology,CONVERT(sleep_rmssd_5min USING utf8): last_first_third; across days iqr
sleep__hrv_last_first_third__p10,sleep,physiology,CONVERT(sleep_rmssd_5min USING utf8): last_first_third; across days p10
sleep__hrv_last_first_third__p90,sleep,physiology,CONVERT(sleep_rmssd_5min USING utf8): last_first_third; across days p90
sleep__hrv_last_first_third__missing_fraction,sleep,quality,CONVERT(sleep_rmssd_5min USING utf8): last_first_third; daily missing fraction
sleep__hrv_valid_fraction__median,sleep,quality,CONVERT(sleep_rmssd_5min USING utf8): valid_fraction; across days median
sleep__hrv_valid_fraction__iqr,sleep,quality,CONVERT(sleep_rmssd_5min USING utf8): valid_fraction; across days iqr
sleep__hrv_valid_fraction__p10,sleep,quality,CONVERT(sleep_rmssd_5min USING utf8): valid_fraction; across days p10
sleep__hrv_valid_fraction__p90,sleep,quality,CONVERT(sleep_rmssd_5min USING utf8): valid_fraction; across days p90
sleep__hrv_valid_fraction__missing_fraction,sleep,quality,CONVERT(sleep_rmssd_5min USING utf8): valid_fraction; daily missing fraction
sleep__hrv_length__median,sleep,quality,CONVERT(sleep_rmssd_5min USING utf8): length; across days median
sleep__hrv_length__iqr,sleep,quality,CONVERT(sleep_rmssd_5min USING utf8): length; across days iqr
sleep__hrv_length__p10,sleep,quality,CONVERT(sleep_rmssd_5min USING utf8): length; across days p10
sleep__hrv_length__p90,sleep,quality,CONVERT(sleep_rmssd_5min USING utf8): length; across days p90
sleep__hrv_length__missing_fraction,sleep,quality,CONVERT(sleep_rmssd_5min USING utf8): length; daily missing fraction
sleep__deep_fraction__median,sleep,physiology,deep_fraction; across days median
sleep__deep_fraction__iqr,sleep,physiology,deep_fraction; across days iqr
sleep__deep_fraction__p10,sleep,physiology,deep_fraction; across days p10
sleep__deep_fraction__p90,sleep,physiology,deep_fraction; across days p90
sleep__deep_fraction__missing_fraction,sleep,quality,deep_fraction; daily missing fraction
sleep__light_fraction__median,sleep,physiology,light_fraction; across days median
sleep__light_fraction__iqr,sleep,physiology,light_fraction; across days iqr
sleep__light_fraction__p10,sleep,physiology,light_fraction; across days p10
sleep__light_fraction__p90,sleep,physiology,light_fraction; across days p90
sleep__light_fraction__missing_fraction,sleep,quality,light_fraction; daily missing fraction
sleep__rem_fraction__median,sleep,physiology,rem_fraction; across days median
sleep__rem_fraction__iqr,sleep,physiology,rem_fraction; across days iqr
sleep__rem_fraction__p10,sleep,physiology,rem_fraction; across days p10
sleep__rem_fraction__p90,sleep,physiology,rem_fraction; across days p90
sleep__rem_fraction__missing_fraction,sleep,quality,rem_fraction; daily missing fraction
sleep__awake_fraction__median,sleep,physiology,awake_fraction; across days median
sleep__awake_fraction__iqr,sleep,physiology,awake_fraction; across days iqr
sleep__awake_fraction__p10,sleep,physiology,awake_fraction; across days p10
sleep__awake_fraction__p90,sleep,physiology,awake_fraction; across days p90
sleep__awake_fraction__missing_fraction,sleep,quality,awake_fraction; daily missing fraction
sleep__latency_fraction__median,sleep,physiology,latency_fraction; across days median
sleep__latency_fraction__iqr,sleep,physiology,latency_fraction; across days iqr
sleep__latency_fraction__p10,sleep,physiology,latency_fraction; across days p10
sleep__latency_fraction__p90,sleep,physiology,latency_fraction; across days p90
sleep__latency_fraction__missing_fraction,sleep,quality,latency_fraction; daily missing fraction
sleep__bedtime_sin__median,sleep,physiology,bedtime_sin; across days median
sleep__bedtime_sin__iqr,sleep,physiology,bedtime_sin; across days iqr
sleep__bedtime_sin__p10,sleep,physiology,bedtime_sin; across days p10
sleep__bedtime_sin__p90,sleep,physiology,bedtime_sin; across days p90
sleep__bedtime_sin__missing_fraction,sleep,quality,bedtime_sin; daily missing fraction
sleep__bedtime_cos__median,sleep,physiology,bedtime_cos; across days median
sleep__bedtime_cos__iqr,sleep,physiology,bedtime_cos; across days iqr
sleep__bedtime_cos__p10,sleep,physiology,bedtime_cos; across days p10
