feature,modality,family,description,kind
v3__activity__state_code_5_longest_minutes__rolling_range28,activity,physiology,activity__state_code_5_longest_minutes: within-person rolling_range28; calendar windows where applicable,temporal_v3
v3__activity__state_entropy__mean,activity,physiology,activity__state_entropy: within-person mean; calendar windows where applicable,temporal_v3
v3__activity__state_entropy__std,activity,physiology,activity__state_entropy: within-person std; calendar windows where applicable,temporal_v3
v3__activity__state_entropy__median,activity,physiology,activity__state_entropy: within-person median; calendar windows where applicable,temporal_v3
v3__activity__state_entropy__trimmed_mean,activity,physiology,activity__state_entropy: within-person trimmed_mean; calendar windows where applicable,temporal_v3
v3__activity__state_entropy__mode,activity,physiology,activity__state_entropy: within-person mode; calendar windows where applicable,temporal_v3
v3__activity__state_entropy__minimum,activity,physiology,activity__state_entropy: within-person minimum; calendar windows where applicable,temporal_v3
v3__activity__state_entropy__maximum,activity,physiology,activity__state_entropy: within-person maximum; calendar windows where applicable,temporal_v3
v3__activity__state_entropy__range,activity,physiology,activity__state_entropy: within-person range; calendar windows where applicable,temporal_v3
v3__activity__state_entropy__mad,activity,physiology,activity__state_entropy: within-person mad; calendar windows where applicable,temporal_v3
v3__activity__state_entropy__cv,activity,physiology,activity__state_entropy: within-person cv; calendar windows where applicable,temporal_v3
v3__activity__state_entropy__skew,activity,physiology,activity__state_entropy: within-person skew; calendar windows where applicable,temporal_v3
v3__activity__state_entropy__kurtosis,activity,physiology,activity__state_entropy: within-person kurtosis; calendar windows where applicable,temporal_v3
v3__activity__state_entropy__q05,activity,physiology,activity__state_entropy: within-person q05; calendar windows where applicable,temporal_v3
v3__activity__state_entropy__q95,activity,physiology,activity__state_entropy: within-person q95; calendar windows where applicable,temporal_v3
v3__activity__state_entropy__rmssd,activity,physiology,activity__state_entropy: within-person rmssd; calendar windows where applicable,temporal_v3
v3__activity__state_entropy__moving_range,activity,physiology,activity__state_entropy: within-person moving_range; calendar windows where applicable,temporal_v3
v3__activity__state_entropy__lag1,activity,physiology,activity__state_entropy: within-person lag1; calendar windows where applicable,temporal_v3
v3__activity__state_entropy__trend,activity,physiology,activity__state_entropy: within-person trend; calendar windows where applicable,temporal_v3
v3__activity__state_entropy__bin_variance4,activity,physiology,activity__state_entropy: within-person bin_variance4; calendar windows where applicable,temporal_v3
v3__activity__state_entropy__bin_change4,activity,physiology,activity__state_entropy: within-person bin_change4; calendar windows where applicable,temporal_v3
v3__activity__state_entropy__stv7,activity,physiology,activity__state_entropy: within-person stv7; calendar windows where applicable,temporal_v3
v3__activity__state_entropy__rolling_cv7,activity,physiology,activity__state_entropy: within-person rolling_cv7; calendar windows where applicable,temporal_v3
v3__activity__state_entropy__rolling_range7,activity,physiology,activity__state_entropy: within-person rolling_range7; calendar windows where applicable,temporal_v3
v3__activity__state_entropy__stv14,activity,physiology,activity__state_entropy: within-person stv14; calendar windows where applicable,temporal_v3
v3__activity__state_entropy__rolling_cv14,activity,physiology,activity__state_entropy: within-person rolling_cv14; calendar windows where applicable,temporal_v3
v3__activity__state_entropy__rolling_range14,activity,physiology,activity__state_entropy: within-person rolling_range14; calendar windows where applicable,temporal_v3
v3__activity__state_entropy__stv28,activity,physiology,activity__state_entropy: within-person stv28; calendar windows where applicable,temporal_v3
v3__activity__state_entropy__rolling_cv28,activity,physiology,activity__state_entropy: within-person rolling_cv28; calendar windows where applicable,temporal_v3
v3__activity__state_entropy__rolling_range28,activity,physiology,activity__state_entropy: within-person rolling_range28; calendar windows where applicable,temporal_v3
v3__activity__state_transition_rate__mean,activity,physiology,activity__state_transition_rate: within-person mean; calendar windows where applicable,temporal_v3
v3__activity__state_transition_rate__std,activity,physiology,activity__state_transition_rate: within-person std; calendar windows where applicable,temporal_v3
v3__activity__state_transition_rate__median,activity,physiology,activity__state_transition_rate: within-person median; calendar windows where applicable,temporal_v3
v3__activity__state_transition_rate__trimmed_mean,activity,physiology,activity__state_transition_rate: within-person trimmed_mean; calendar windows where applicable,temporal_v3
v3__activity__state_transition_rate__mode,activity,physiology,activity__state_transition_rate: within-person mode; calendar windows where applicable,temporal_v3
v3__activity__state_transition_rate__minimum,activity,physiology,activity__state_transition_rate: within-person minimum; calendar windows where applicable,temporal_v3
v3__activity__state_transition_rate__maximum,activity,physiology,activity__state_transition_rate: within-person maximum; calendar windows where applicable,temporal_v3
v3__activity__state_transition_rate__range,activity,physiology,activity__state_transition_rate: within-person range; calendar windows where applicable,temporal_v3
v3__activity__state_transition_rate__mad,activity,physiology,activity__state_transition_rate: within-person mad; calendar windows where applicable,temporal_v3
v3__activity__state_transition_rate__cv,activity,physiology,activity__state_transition_rate: within-person cv; calendar windows where applicable,temporal_v3
v3__activity__state_transition_rate__skew,activity,physiology,activity__state_transition_rate: within-person skew; calendar windows where applicable,temporal_v3
v3__activity__state_transition_rate__kurtosis,activity,physiology,activity__state_transition_rate: within-person kurtosis; calendar windows where applicable,temporal_v3
v3__activity__state_transition_rate__q05,activity,physiology,activity__state_transition_rate: within-person q05; calendar windows where applicable,temporal_v3
v3__activity__state_transition_rate__q95,activity,physiology,activity__state_transition_rate: within-person q95; calendar windows where applicable,temporal_v3
v3__activity__state_transition_rate__rmssd,activity,physiology,activity__state_transition_rate: within-person rmssd; calendar windows where applicable,temporal_v3
v3__activity__state_transition_rate__moving_range,activity,physiology,activity__state_transition_rate: within-person moving_range; calendar windows where applicable,temporal_v3
v3__activity__state_transition_rate__lag1,activity,physiology,activity__state_transition_rate: within-person lag1; calendar windows where applicable,temporal_v3
v3__activity__state_transition_rate__trend,activity,physiology,activity__state_transition_rate: within-person trend; calendar windows where applicable,temporal_v3
v3__activity__state_transition_rate__bin_variance4,activity,physiology,activity__state_transition_rate: within-person bin_variance4; calendar windows where applicable,temporal_v3
v3__activity__state_transition_rate__bin_change4,activity,physiology,activity__state_transition_rate: within-person bin_change4; calendar windows where applicable,temporal_v3
v3__activity__state_transition_rate__stv7,activity,physiology,activity__state_transition_rate: within-person stv7; calendar windows where applicable,temporal_v3
v3__activity__state_transition_rate__rolling_cv7,activity,physiology,activity__state_transition_rate: within-person rolling_cv7; calendar windows where applicable,temporal_v3
v3__activity__state_transition_rate__rolling_range7,activity,physiology,activity__state_transition_rate: within-person rolling_range7; calendar windows where applicable,temporal_v3
v3__activity__state_transition_rate__stv14,activity,physiology,activity__state_transition_rate: within-person stv14; calendar windows where applicable,temporal_v3
v3__activity__state_transition_rate__rolling_cv14,activity,physiology,activity__state_transition_rate: within-person rolling_cv14; calendar windows where applicable,temporal_v3
v3__activity__state_transition_rate__rolling_range14,activity,physiology,activity__state_transition_rate: within-person rolling_range14; calendar windows where applicable,temporal_v3
v3__activity__state_transition_rate__stv28,activity,physiology,activity__state_transition_rate: within-person stv28; calendar windows where applicable,temporal_v3
v3__activity__state_transition_rate__rolling_cv28,activity,physiology,activity__state_transition_rate: within-person rolling_cv28; calendar windows where applicable,temporal_v3
v3__activity__state_transition_rate__rolling_range28,activity,physiology,activity__state_transition_rate: within-person rolling_range28; calendar windows where applicable,temporal_v3
v3__activity__met_mean__mean,activity,physiology,activity__met_mean: within-person mean; calendar windows where applicable,temporal_v3
v3__activity__met_mean__std,activity,physiology,activity__met_mean: within-person std; calendar windows where applicable,temporal_v3
v3__activity__met_mean__median,activity,physiology,activity__met_mean: within-person median; calendar windows where applicable,temporal_v3
v3__activity__met_mean__trimmed_mean,activity,physiology,activity__met_mean: within-person trimmed_mean; calendar windows where applicable,temporal_v3
v3__activity__met_mean__mode,activity,physiology,activity__met_mean: within-person mode; calendar windows where applicable,temporal_v3
v3__activity__met_mean__minimum,activity,physiology,activity__met_mean: within-person minimum; calendar windows where applicable,temporal_v3
v3__activity__met_mean__maximum,activity,physiology,activity__met_mean: within-person maximum; calendar windows where applicable,temporal_v3
v3__activity__met_mean__range,activity,physiology,activity__met_mean: within-person range; calendar windows where applicable,temporal_v3
v3__activity__met_mean__mad,activity,physiology,activity__met_mean: within-person mad; calendar windows where applicable,temporal_v3
v3__activity__met_mean__cv,activity,physiology,activity__met_mean: within-person cv; calendar windows where applicable,temporal_v3
v3__activity__met_mean__skew,activity,physiology,activity__met_mean: within-person skew; calendar windows where applicable,temporal_v3
v3__activity__met_mean__kurtosis,activity,physiology,activity__met_mean: within-person kurtosis; calendar windows where applicable,temporal_v3
v3__activity__met_mean__q05,activity,physiology,activity__met_mean: within-person q05; calendar windows where applicable,temporal_v3
v3__activity__met_mean__q95,activity,physiology,activity__met_mean: within-person q95; calendar windows where applicable,temporal_v3
v3__activity__met_mean__rmssd,activity,physiology,activity__met_mean: within-person rmssd; calendar windows where applicable,temporal_v3
v3__activity__met_mean__moving_range,activity,physiology,activity__met_mean: within-person moving_range; calendar windows where applicable,temporal_v3
v3__activity__met_mean__lag1,activity,physiology,activity__met_mean: within-person lag1; calendar windows where applicable,temporal_v3
v3__activity__met_mean__trend,activity,physiology,activity__met_mean: within-person trend; calendar windows where applicable,temporal_v3
v3__activity__met_mean__bin_variance4,activity,physiology,activity__met_mean: within-person bin_variance4; calendar windows where applicable,temporal_v3
v3__activity__met_mean__bin_change4,activity,physiology,activity__met_mean: within-person bin_change4; calendar windows where applicable,temporal_v3
v3__activity__met_mean__stv7,activity,physiology,activity__met_mean: within-person stv7; calendar windows where applicable,temporal_v3
v3__activity__met_mean__rolling_cv7,activity,physiology,activity__met_mean: within-person rolling_cv7; calendar windows where applicable,temporal_v3
v3__activity__met_mean__rolling_range7,activity,physiology,activity__met_mean: within-person rolling_range7; calendar windows where applicable,temporal_v3
v3__activity__met_mean__stv14,activity,physiology,activity__met_mean: within-person stv14; calendar windows where applicable,temporal_v3
v3__activity__met_mean__rolling_cv14,activity,physiology,activity__met_mean: within-person rolling_cv14; calendar windows where applicable,temporal_v3
v3__activity__met_mean__rolling_range14,activity,physiology,activity__met_mean: within-person rolling_range14; calendar windows where applicable,temporal_v3
v3__activity__met_mean__stv28,activity,physiology,activity__met_mean: within-person stv28; calendar windows where applicable,temporal_v3
v3__activity__met_mean__rolling_cv28,activity,physiology,activity__met_mean: within-person rolling_cv28; calendar windows where applicable,temporal_v3
v3__activity__met_mean__rolling_range28,activity,physiology,activity__met_mean: within-person rolling_range28; calendar windows where applicable,temporal_v3
v3__activity__met_std__mean,activity,physiology,activity__met_std: within-person mean; calendar windows where applicable,temporal_v3
v3__activity__met_std__std,activity,physiology,activity__met_std: within-person std; calendar windows where applicable,temporal_v3
v3__activity__met_std__median,activity,physiology,activity__met_std: within-person median; calendar windows where applicable,temporal_v3
v3__activity__met_std__trimmed_mean,activity,physiology,activity__met_std: within-person trimmed_mean; calendar windows where applicable,temporal_v3
v3__activity__met_std__mode,activity,physiology,activity__met_std: within-person mode; calendar windows where applicable,temporal_v3
v3__activity__met_std__minimum,activity,physiology,activity__met_std: within-person minimum; calendar windows where applicable,temporal_v3
v3__activity__met_std__maximum,activity,physiology,activity__met_std: within-person maximum; calendar windows where applicable,temporal_v3
v3__activity__met_std__range,activity,physiology,activity__met_std: within-person range; calendar windows where applicable,temporal_v3
v3__activity__met_std__mad,activity,physiology,activity__met_std: within-person mad; calendar windows where applicable,temporal_v3
v3__activity__met_std__cv,activity,physiology,activity__met_std: within-person cv; calendar windows where applicable,temporal_v3
v3__activity__met_std__skew,activity,physiology,activity__met_std: within-person skew; calendar windows where applicable,temporal_v3
v3__activity__met_std__kurtosis,activity,physiology,activity__met_std: within-person kurtosis; calendar windows where applicable,temporal_v3
v3__activity__met_std__q05,activity,physiology,activity__met_std: within-person q05; calendar windows where applicable,temporal_v3
v3__activity__met_std__q95,activity,physiology,activity__met_std: within-person q95; calendar windows where applicable,temporal_v3
v3__activity__met_std__rmssd,activity,physiology,activity__met_std: within-person rmssd; calendar windows where applicable,temporal_v3
v3__activity__met_std__moving_range,activity,physiology,activity__met_std: within-person moving_range; calendar windows where applicable,temporal_v3
v3__activity__met_std__lag1,activity,physiology,activity__met_std: within-person lag1; calendar windows where applicable,temporal_v3
v3__activity__met_std__trend,activity,physiology,activity__met_std: within-person trend; calendar windows where applicable,temporal_v3
v3__activity__met_std__bin_variance4,activity,physiology,activity__met_std: within-person bin_variance4; calendar windows where applicable,temporal_v3
v3__activity__met_std__bin_change4,activity,physiology,activity__met_std: within-person bin_change4; calendar windows where applicable,temporal_v3
v3__activity__met_std__stv7,activity,physiology,activity__met_std: within-person stv7; calendar windows where applicable,temporal_v3
v3__activity__met_std__rolling_cv7,activity,physiology,activity__met_std: within-person rolling_cv7; calendar windows where applicable,temporal_v3
v3__activity__met_std__rolling_range7,activity,physiology,activity__met_std: within-person rolling_range7; calendar windows where applicable,temporal_v3
v3__activity__met_std__stv14,activity,physiology,activity__met_std: within-person stv14; calendar windows where applicable,temporal_v3
v3__activity__met_std__rolling_cv14,activity,physiology,activity__met_std: within-person rolling_cv14; calendar windows where applicable,temporal_v3
v3__activity__met_std__rolling_range14,activity,physiology,activity__met_std: within-person rolling_range14; calendar windows where applicable,temporal_v3
v3__activity__met_std__stv28,activity,physiology,activity__met_std: within-person stv28; calendar windows where applicable,temporal_v3
v3__activity__met_std__rolling_cv28,activity,physiology,activity__met_std: within-person rolling_cv28; calendar windows where applicable,temporal_v3
v3__activity__met_std__rolling_range28,activity,physiology,activity__met_std: within-person rolling_range28; calendar windows where applicable,temporal_v3
v3__activity__met_p10__mean,activity,physiology,activity__met_p10: within-person mean; calendar windows where applicable,temporal_v3
v3__activity__met_p10__std,activity,physiology,activity__met_p10: within-person std; calendar windows where applicable,temporal_v3
v3__activity__met_p10__median,activity,physiology,activity__met_p10: within-person median; calendar windows where applicable,temporal_v3
v3__activity__met_p10__trimmed_mean,activity,physiology,activity__met_p10: within-person trimmed_mean; calendar windows where applicable,temporal_v3
v3__activity__met_p10__mode,activity,physiology,activity__met_p10: within-person mode; calendar windows where applicable,temporal_v3
v3__activity__met_p10__minimum,activity,physiology,activity__met_p10: within-person minimum; calendar windows where applicable,temporal_v3
v3__activity__met_p10__maximum,activity,physiology,activity__met_p10: within-person maximum; calendar windows where applicable,temporal_v3
v3__activity__met_p10__range,activity,physiology,activity__met_p10: within-person range; calendar windows where applicable,temporal_v3
v3__activity__met_p10__mad,activity,physiology,activity__met_p10: within-person mad; calendar windows where applicable,temporal_v3
v3__activity__met_p10__cv,activity,physiology,activity__met_p10: within-person cv; calendar windows where applicable,temporal_v3
v3__activity__met_p10__skew,activity,physiology,activity__met_p10: within-person skew; calendar windows where applicable,temporal_v3
v3__activity__met_p10__kurtosis,activity,physiology,activity__met_p10: within-person kurtosis; calendar windows where applicable,temporal_v3
v3__activity__met_p10__q05,activity,physiology,activity__met_p10: within-person q05; calendar windows where applicable,temporal_v3
v3__activity__met_p10__q95,activity,physiology,activity__met_p10: within-person q95; calendar windows where applicable,temporal_v3
v3__activity__met_p10__rmssd,activity,physiology,activity__met_p10: within-person rmssd; calendar windows where applicable,temporal_v3
v3__activity__met_p10__moving_range,activity,physiology,activity__met_p10: within-person moving_range; calendar windows where applicable,temporal_v3
v3__activity__met_p10__lag1,activity,physiology,activity__met_p10: within-person lag1; calendar windows where applicable,temporal_v3
v3__activity__met_p10__trend,activity,physiology,activity__met_p10: within-person trend; calendar windows where applicable,temporal_v3
v3__activity__met_p10__bin_variance4,activity,physiology,activity__met_p10: within-person bin_variance4; calendar windows where applicable,temporal_v3
v3__activity__met_p10__bin_change4,activity,physiology,activity__met_p10: within-person bin_change4; calendar windows where applicable,temporal_v3
v3__activity__met_p10__stv7,activity,physiology,activity__met_p10: within-person stv7; calendar windows where applicable,temporal_v3
v3__activity__met_p10__rolling_cv7,activity,physiology,activity__met_p10: within-person rolling_cv7; calendar windows where applicable,temporal_v3
v3__activity__met_p10__rolling_range7,activity,physiology,activity__met_p10: within-person rolling_range7; calendar windows where applicable,temporal_v3
v3__activity__met_p10__stv14,activity,physiology,activity__met_p10: within-person stv14; calendar windows where applicable,temporal_v3
v3__activity__met_p10__rolling_cv14,activity,physiology,activity__met_p10: within-person rolling_cv14; calendar windows where applicable,temporal_v3
v3__activity__met_p10__rolling_range14,activity,physiology,activity__met_p10: within-person rolling_range14; calendar windows where applicable,temporal_v3
v3__activity__met_p10__stv28,activity,physiology,activity__met_p10: within-person stv28; calendar windows where applicable,temporal_v3
v3__activity__met_p10__rolling_cv28,activity,physiology,activity__met_p10: within-person rolling_cv28; calendar windows where applicable,temporal_v3
v3__activity__met_p10__rolling_range28,activity,physiology,activity__met_p10: within-person rolling_range28; calendar windows where applicable,temporal_v3
v3__activity__met_p90__mean,activity,physiology,activity__met_p90: within-person mean; calendar windows where applicable,temporal_v3
v3__activity__met_p90__std,activity,physiology,activity__met_p90: within-person std; calendar windows where applicable,temporal_v3
v3__activity__met_p90__median,activity,physiology,activity__met_p90: within-person median; calendar windows where applicable,temporal_v3
v3__activity__met_p90__trimmed_mean,activity,physiology,activity__met_p90: within-person trimmed_mean; calendar windows where applicable,temporal_v3
v3__activity__met_p90__mode,activity,physiology,activity__met_p90: within-person mode; calendar windows where applicable,temporal_v3
v3__activity__met_p90__minimum,activity,physiology,activity__met_p90: within-person minimum; calendar windows where applicable,temporal_v3
v3__activity__met_p90__maximum,activity,physiology,activity__met_p90: within-person maximum; calendar windows where applicable,temporal_v3
v3__activity__met_p90__range,activity,physiology,activity__met_p90: within-person range; calendar windows where applicable,temporal_v3
v3__activity__met_p90__mad,activity,physiology,activity__met_p90: within-person mad; calendar windows where applicable,temporal_v3
v3__activity__met_p90__cv,activity,physiology,activity__met_p90: within-person cv; calendar windows where applicable,temporal_v3
v3__activity__met_p90__skew,activity,physiology,activity__met_p90: within-person skew; calendar windows where applicable,temporal_v3
v3__activity__met_p90__kurtosis,activity,physiology,activity__met_p90: within-person kurtosis; calendar windows where applicable,temporal_v3
v3__activity__met_p90__q05,activity,physiology,activity__met_p90: within-person q05; calendar windows where applicable,temporal_v3
v3__activity__met_p90__q95,activity,physiology,activity__met_p90: within-person q95; calendar windows where applicable,temporal_v3
v3__activity__met_p90__rmssd,activity,physiology,activity__met_p90: within-person rmssd; calendar windows where applicable,temporal_v3
v3__activity__met_p90__moving_range,activity,physiology,activity__met_p90: within-person moving_range; calendar windows where applicable,temporal_v3
v3__activity__met_p90__lag1,activity,physiology,activity__met_p90: within-person lag1; calendar windows where applicable,temporal_v3
v3__activity__met_p90__trend,activity,physiology,activity__met_p90: within-person trend; calendar windows where applicable,temporal_v3
v3__activity__met_p90__bin_variance4,activity,physiology,activity__met_p90: within-person bin_variance4; calendar windows where applicable,temporal_v3
v3__activity__met_p90__bin_change4,activity,physiology,activity__met_p90: within-person bin_change4; calendar windows where applicable,temporal_v3
v3__activity__met_p90__stv7,activity,physiology,activity__met_p90: within-person stv7; calendar windows where applicable,temporal_v3
v3__activity__met_p90__rolling_cv7,activity,physiology,activity__met_p90: within-person rolling_cv7; calendar windows where applicable,temporal_v3
v3__activity__met_p90__rolling_range7,activity,physiology,activity__met_p90: within-person rolling_range7; calendar windows where applicable,temporal_v3
v3__activity__met_p90__stv14,activity,physiology,activity__met_p90: within-person stv14; calendar windows where applicable,temporal_v3
v3__activity__met_p90__rolling_cv14,activity,physiology,activity__met_p90: within-person rolling_cv14; calendar windows where applicable,temporal_v3
v3__activity__met_p90__rolling_range14,activity,physiology,activity__met_p90: within-person rolling_range14; calendar windows where applicable,temporal_v3
v3__activity__met_p90__stv28,activity,physiology,activity__met_p90: within-person stv28; calendar windows where applicable,temporal_v3
v3__activity__met_p90__rolling_cv28,activity,physiology,activity__met_p90: within-person rolling_cv28; calendar windows where applicable,temporal_v3
v3__activity__met_p90__rolling_range28,activity,physiology,activity__met_p90: within-person rolling_range28; calendar windows where applicable,temporal_v3
v3__activity__met_rmssd_adjacent__mean,activity,physiology,activity__met_rmssd_adjacent: within-person mean; calendar windows where applicable,temporal_v3
v3__activity__met_rmssd_adjacent__std,activity,physiology,activity__met_rmssd_adjacent: within-person std; calendar windows where applicable,temporal_v3
v3__activity__met_rmssd_adjacent__median,activity,physiology,activity__met_rmssd_adjacent: within-person median; calendar windows where applicable,temporal_v3
v3__activity__met_rmssd_adjacent__trimmed_mean,activity,physiology,activity__met_rmssd_adjacent: within-person trimmed_mean; calendar windows where applicable,temporal_v3
v3__activity__met_rmssd_adjacent__mode,activity,physiology,activity__met_rmssd_adjacent: within-person mode; calendar windows where applicable,temporal_v3
v3__activity__met_rmssd_adjacent__minimum,activity,physiology,activity__met_rmssd_adjacent: within-person minimum; calendar windows where applicable,temporal_v3
v3__activity__met_rmssd_adjacent__maximum,activity,physiology,activity__met_rmssd_adjacent: within-person maximum; calendar windows where applicable,temporal_v3
v3__activity__met_rmssd_adjacent__range,activity,physiology,activity__met_rmssd_adjacent: within-person range; calendar windows where applicable,temporal_v3
v3__activity__met_rmssd_adjacent__mad,activity,physiology,activity__met_rmssd_adjacent: within-person mad; calendar windows where applicable,temporal_v3
v3__activity__met_rmssd_adjacent__cv,activity,physiology,activity__met_rmssd_adjacent: within-person cv; calendar windows where applicable,temporal_v3
v3__activity__met_rmssd_adjacent__skew,activity,physiology,activity__met_rmssd_adjacent: within-person skew; calendar windows where applicable,temporal_v3
v3__activity__met_rmssd_adjacent__kurtosis,activity,physiology,activity__met_rmssd_adjacent: within-person kurtosis; calendar windows where applicable,temporal_v3
v3__activity__met_rmssd_adjacent__q05,activity,physiology,activity__met_rmssd_adjacent: within-person q05; calendar windows where applicable,temporal_v3
v3__activity__met_rmssd_adjacent__q95,activity,physiology,activity__met_rmssd_adjacent: within-person q95; calendar windows where applicable,temporal_v3
v3__activity__met_rmssd_adjacent__rmssd,activity,physiology,activity__met_rmssd_adjacent: within-person rmssd; calendar windows where applicable,temporal_v3
v3__activity__met_rmssd_adjacent__moving_range,activity,physiology,activity__met_rmssd_adjacent: within-person moving_range; calendar windows where applicable,temporal_v3
v3__activity__met_rmssd_adjacent__lag1,activity,physiology,activity__met_rmssd_adjacent: within-person lag1; calendar windows where applicable,temporal_v3
v3__activity__met_rmssd_adjacent__trend,activity,physiology,activity__met_rmssd_adjacent: within-person trend; calendar windows where applicable,temporal_v3
v3__activity__met_rmssd_adjacent__bin_variance4,activity,physiology,activity__met_rmssd_adjacent: within-person bin_variance4; calendar windows where applicable,temporal_v3
v3__activity__met_rmssd_adjacent__bin_change4,activity,physiology,activity__met_rmssd_adjacent: within-person bin_change4; calendar windows where applicable,temporal_v3
v3__activity__met_rmssd_adjacent__stv7,activity,physiology,activity__met_rmssd_adjacent: within-person stv7; calendar windows where applicable,temporal_v3
v3__activity__met_rmssd_adjacent__rolling_cv7,activity,physiology,activity__met_rmssd_adjacent: within-person rolling_cv7; calendar windows where applicable,temporal_v3
v3__activity__met_rmssd_adjacent__rolling_range7,activity,physiology,activity__met_rmssd_adjacent: within-person rolling_range7; calendar windows where applicable,temporal_v3
v3__activity__met_rmssd_adjacent__stv14,activity,physiology,activity__met_rmssd_adjacent: within-person stv14; calendar windows where applicable,temporal_v3
v3__activity__met_rmssd_adjacent__rolling_cv14,activity,physiology,activity__met_rmssd_adjacent: within-person rolling_cv14; calendar windows where applicable,temporal_v3
v3__activity__met_rmssd_adjacent__rolling_range14,activity,physiology,activity__met_rmssd_adjacent: within-person rolling_range14; calendar windows where applicable,temporal_v3
v3__activity__met_rmssd_adjacent__stv28,activity,physiology,activity__met_rmssd_adjacent: within-person stv28; calendar windows where applicable,temporal_v3
v3__activity__met_rmssd_adjacent__rolling_cv28,activity,physiology,activity__met_rmssd_adjacent: within-person rolling_cv28; calendar windows where applicable,temporal_v3
v3__activity__met_rmssd_adjacent__rolling_range28,activity,physiology,activity__met_rmssd_adjacent: within-person rolling_range28; calendar windows where applicable,temporal_v3
v3__activity__met_lag1__mean,activity,physiology,activity__met_lag1: within-person mean; calendar windows where applicable,temporal_v3
v3__activity__met_lag1__std,activity,physiology,activity__met_lag1: within-person std; calendar windows where applicable,temporal_v3
v3__activity__met_lag1__median,activity,physiology,activity__met_lag1: within-person median; calendar windows where applicable,temporal_v3
v3__activity__met_lag1__trimmed_mean,activity,physiology,activity__met_lag1: within-person trimmed_mean; calendar windows where applicable,temporal_v3
v3__activity__met_lag1__mode,activity,physiology,activity__met_lag1: within-person mode; calendar windows where applicable,temporal_v3
v3__activity__met_lag1__minimum,activity,physiology,activity__met_lag1: within-person minimum; calendar windows where applicable,temporal_v3
v3__activity__met_lag1__maximum,activity,physiology,activity__met_lag1: within-person maximum; calendar windows where applicable,temporal_v3
v3__activity__met_lag1__range,activity,physiology,activity__met_lag1: within-person range; calendar windows where applicable,temporal_v3
v3__activity__met_lag1__mad,activity,physiology,activity__met_lag1: within-person mad; calendar windows where applicable,temporal_v3
v3__activity__met_lag1__cv,activity,physiology,activity__met_lag1: within-person cv; calendar windows where applicable,temporal_v3
v3__activity__met_lag1__skew,activity,physiology,activity__met_lag1: within-person skew; calendar windows where applicable,temporal_v3
v3__activity__met_lag1__kurtosis,activity,physiology,activity__met_lag1: within-person kurtosis; calendar windows where applicable,temporal_v3
v3__activity__met_lag1__q05,activity,physiology,activity__met_lag1: within-person q05; calendar windows where applicable,temporal_v3
v3__activity__met_lag1__q95,activity,physiology,activity__met_lag1: within-person q95; calendar windows where applicable,temporal_v3
v3__activity__met_lag1__rmssd,activity,physiology,activity__met_lag1: within-person rmssd; calendar windows where applicable,temporal_v3
v3__activity__met_lag1__moving_range,activity,physiology,activity__met_lag1: within-person moving_range; calendar windows where applicable,temporal_v3
v3__activity__met_lag1__lag1,activity,physiology,activity__met_lag1: within-person lag1; calendar windows where applicable,temporal_v3
v3__activity__met_lag1__trend,activity,physiology,activity__met_lag1: within-person trend; calendar windows where applicable,temporal_v3
v3__activity__met_lag1__bin_variance4,activity,physiology,activity__met_lag1: within-person bin_variance4; calendar windows where applicable,temporal_v3
v3__activity__met_lag1__bin_change4,activity,physiology,activity__met_lag1: within-person bin_change4; calendar windows where applicable,temporal_v3
v3__activity__met_lag1__stv7,activity,physiology,activity__met_lag1: within-person stv7; calendar windows where applicable,temporal_v3
v3__activity__met_lag1__rolling_cv7,activity,physiology,activity__met_lag1: within-person rolling_cv7; calendar windows where applicable,temporal_v3
v3__activity__met_lag1__rolling_range7,activity,physiology,activity__met_lag1: within-person rolling_range7; calendar windows where applicable,temporal_v3
v3__activity__met_lag1__stv14,activity,physiology,activity__met_lag1: within-person stv14; calendar windows where applicable,temporal_v3
v3__activity__met_lag1__rolling_cv14,activity,physiology,activity__met_lag1: within-person rolling_cv14; calendar windows where applicable,temporal_v3
v3__activity__met_lag1__rolling_range14,activity,physiology,activity__met_lag1: within-person rolling_range14; calendar windows where applicable,temporal_v3
v3__activity__met_lag1__stv28,activity,physiology,activity__met_lag1: within-person stv28; calendar windows where applicable,temporal_v3
v3__activity__met_lag1__rolling_cv28,activity,physiology,activity__met_lag1: within-person rolling_cv28; calendar windows where applicable,temporal_v3
v3__activity__met_lag1__rolling_range28,activity,physiology,activity__met_lag1: within-person rolling_range28; calendar windows where applicable,temporal_v3
v3__activity__met_last_first_third__mean,activity,physiology,activity__met_last_first_third: within-person mean; calendar windows where applicable,temporal_v3
v3__activity__met_last_first_third__std,activity,physiology,activity__met_last_first_third: within-person std; calendar windows where applicable,temporal_v3
v3__activity__met_last_first_third__median,activity,physiology,activity__met_last_first_third: within-person median; calendar windows where applicable,temporal_v3
v3__activity__met_last_first_third__trimmed_mean,activity,physiology,activity__met_last_first_third: within-person trimmed_mean; calendar windows where applicable,temporal_v3
v3__activity__met_last_first_third__mode,activity,physiology,activity__met_last_first_third: within-person mode; calendar windows where applicable,temporal_v3
v3__activity__met_last_first_third__minimum,activity,physiology,activity__met_last_first_third: within-person minimum; calendar windows where applicable,temporal_v3
v3__activity__met_last_first_third__maximum,activity,physiology,activity__met_last_first_third: within-person maximum; calendar windows where applicable,temporal_v3
